,threshold_list,含负例准确率,coverage_list,正例准确率
0,0.01,0.7378422844899052,0.25613784483528257,0.10053278892595728
1,0.02,0.7378422844899052,0.25613784483528257,0.10053278892595728
2,0.03,0.7378422844899052,0.25613784483528257,0.10053278892595728
3,0.04,0.7378422844899052,0.25613784483528257,0.10053278892595728
4,0.05,0.7378422844899052,0.25613784483528257,0.10053278892595728
5,0.06,0.7378422844899052,0.25613784483528257,0.10053278892595728
6,0.07,0.7378422844899052,0.25613784483528257,0.10053278892595728
7,0.08,0.7378422844899052,0.25613784483528257,0.10053278892595728
8,0.09,0.7378422844899052,0.25613784483528257,0.10053278892595728
9,0.10,0.7378422844899052,0.25613784483528257,0.10053278892595728
10,0.11,0.7378422844899052,0.25613784483528257,0.10053278892595728
11,0.12,0.7378422844899052,0.25613784483528257,0.10053278892595728
12,0.13,0.7378422844899052,0.25613784483528257,0.10053278892595728
13,0.14,0.7378422844899052,0.25613784483528257,0.10053278892595728
14,0.15,0.7378422844899052,0.25613784483528257,0.10053278892595728
15,0.16,0.7378422844899052,0.25613784483528257,0.10053278892595728
16,0.17,0.7378422844899052,0.25613784483528257,0.10053278892595728
17,0.18,0.7378422844899052,0.25613784483528257,0.10053278892595728
18,0.19,0.7378422844899052,0.25613784483528257,0.10053278892595728
19,0.20,0.7378422844899052,0.25613784483528257,0.10053278892595728
20,0.21,0.7378422844899052,0.25613784483528257,0.10053278892595728
21,0.22,0.7378705168103669,0.25610938217437884,0.10054780876494024
22,0.23,0.7378705168103669,0.25610938217437884,0.10054780876494024
23,0.24,0.7378920649498081,0.2560874500950267,0.10056283309259352
24,0.25,0.7379861970429524,0.25600530686703493,0.1006079330277058
25,0.26,0.738023245429377,0.25596764522014265,0.10063300603100234
26,0.27,0.7381046560590014,0.25588546783886895,0.1006781689438516
27,0.28,0.738201587585186,0.25578753924296177,0.10073342314024847
28,0.29,0.7383894605152297,0.25561059054816554,0.10083404085301903
29,0.30,0.7385185185185185,0.25547892720306514,0.10087982403519297
30,0.31,0.7386610451002938,0.255334099910566,0.10092569427070303
31,0.32,0.7388314394181483,0.2551608656193678,0.10104197976154694
32,0.33,0.7391682550241132,0.25483223107722613,0.10124993725214598
33,0.34,0.7396477745757285,0.2544092219020173,0.1015455872728188
34,0.35,0.7401606116584565,0.25389983579638753,0.10185933710590138
35,0.36,0.7407816777410773,0.2532934054776563,0.10198903998376294
36,0.37,0.741567390044433,0.25252108957434477,0.10246340592645484
37,0.38,0.7422785528982047,0.2518488880858039,0.10275201147952646
38,0.39,0.7433975454404226,0.2506602454559577,0.10308852391281892
39,0.40,0.7443858874840987,0.24961707209429113,0.10348413936557463
40,0.41,0.7456589419933044,0.24838797920981673,0.1039962240402769
41,0.42,0.74682700477093,0.24717338736030325,0.10433632998413538
42,0.43,0.7482018165590382,0.24577361264241088,0.10467289719626169
43,0.44,0.7494959611000567,0.2445214595385244,0.1052489760724294
44,0.45,0.7511747653778442,0.24294809853468702,0.10618938650975264
45,0.46,0.7527755248567364,0.24133437927962664,0.10677097680568563
46,0.47,0.7548069856625557,0.23930036478306765,0.10771120665587135
47,0.48,0.7566268295958104,0.23750503558479924,0.10838468931983943
48,0.49,0.7585783321184634,0.23549580194919142,0.10902212541556804
49,0.50,0.7604764424185693,0.23358159347740562,0.10994308282030434
50,0.51,0.762013479705251,0.23205326260817258,0.110698715682809
51,0.52,0.7633515211640212,0.23077876984126985,0.11158875156725774
52,0.53,0.7648153807684828,0.22957241685883367,0.11248941062568074
53,0.54,0.7666517281944989,0.2279844266427651,0.11388905952454081
54,0.55,0.768464285210224,0.22644065882884282,0.11518324607329843
55,0.56,0.7704355502399157,0.22463799068813806,0.11668885085884516
56,0.57,0.7719333495988633,0.2232874549707938,0.11762437331276514
57,0.58,0.773585998233855,0.22173806042532246,0.11875693673695893
58,0.59,0.7757724431984113,0.21971555399801412,0.11975809131388317
59,0.60,0.7776877761413844,0.21790868924889542,0.12104622871046229
60,0.61,0.7797169040652339,0.21600546586065025,0.12212060785257513
61,0.62,0.7816455222203915,0.2142653865164837,0.12338343236630549
62,0.63,0.7835154372761481,0.21255534901996342,0.12477781727692855
63,0.64,0.7854933333333334,0.21069714285714286,0.126274679973964
64,0.65,0.7871627849812572,0.20904258587844896,0.12736091717498346
65,0.66,0.7891792201351435,0.20703924121257206,0.12815330488809043
66,0.67,0.7907816382988699,0.20535784060893078,0.12900525154121317
67,0.68,0.7924129667003027,0.2036926084762866,0.12980880873132594
68,0.69,0.7940736497024093,0.20196377987841752,0.1305649672996612
69,0.70,0.7961888847828532,0.20006748180401357,0.13234821715387085
70,0.71,0.7983045893013738,0.19796031050050342,0.13363412633305988
71,0.72,0.8006296423828029,0.19566464984340926,0.13517137350205313
72,0.73,0.8025638052965435,0.19362692326802364,0.13634419639038578
73,0.74,0.8050571098884559,0.1912136060337475,0.13809690397061397
74,0.75,0.8075260099986489,0.18865693825158764,0.13992837958818263
75,0.76,0.810148417618828,0.18611125343717444,0.14187391025052767
76,0.77,0.8128731665228646,0.18345125107851595,0.14363653466277868
77,0.78,0.815399905842967,0.18097330473749368,0.1455824260526062
78,0.79,0.8186920836642838,0.17790133262730562,0.14822899097132652
79,0.80,0.8222357207939542,0.17451271148589498,0.15151515151515152
80,0.81,0.825385630843234,0.17114233530443587,0.1536348267117498
81,0.82,0.828430296377607,0.16807537504573727,0.15598127789267444
82,0.83,0.831683535387239,0.16446075705334964,0.15757439134355275
83,0.84,0.8351204672212729,0.16101106082514882,0.16071845113132727
