,阈值,总体覆盖率（筛选后的所有值/总数）,总体准确率（包含正负例）,正例覆盖率（正例/筛选出来的正负例）,正例准确率
64,0.65,0.8301809787391432,0.7861181097523505,0.17354317854273216,0.14882046005732344
65,0.66,0.822936727588098,0.7881718430351498,0.17038019564579693,0.1497866606781945
66,0.67,0.8160113255194051,0.7898126006158078,0.16757432372109632,0.15084861861633306
67,0.68,0.808907367964595,0.7915300201816348,0.16476845179639574,0.15186933973217742
68,0.69,0.8014335454742562,0.7931983831439575,0.16186054816534237,0.15286423449688755
69,0.70,0.7937939214610941,0.7953373286845868,0.158812350938054,0.15475425634436235
70,0.71,0.7853635517236981,0.7976062879599857,0.15547081255500148,0.15627563576702214
71,0.72,0.7778259594168888,0.7998589863413514,0.1521930439884194,0.15763010139948044
72,0.73,0.7700715497340799,0.8018516371586147,0.14910658487124875,0.1588401334359764
73,0.74,0.7626487430969173,0.804321287021088,0.14582881630466668,0.16066118593668008
74,0.75,0.7551366587166962,0.806799756789623,0.14246176999502597,0.16266786034019695
75,0.76,0.7467573048324767,0.8093969360045089,0.13897993801573838,0.16472423602826466
76,0.77,0.7390921728927264,0.8121829163071613,0.1355873837795095,0.16696453767284358
77,0.78,0.7314525488795643,0.8146501368764276,0.13237338502939788,0.16889873783601503
78,0.79,0.7225757904268751,0.8178978024887477,0.1285471960411698,0.17174322849489038
79,0.80,0.7138775874603033,0.8214496274989728,0.12458071345670667,0.17547092547092547
80,0.81,0.7052814162000842,0.8244633718512089,0.1207035086153022,0.17751479289940827
81,0.82,0.6971316336551583,0.8274606659348701,0.11717066078283826,0.17981930989441602
82,0.83,0.6880253038631755,0.8306454602750899,0.11315316234519877,0.18180793507664564
83,0.84,0.6791612993737804,0.8340500647875158,0.10935248128355887,0.185444366689993
84,0.85,0.6696723506829747,0.8376978307654217,0.10544976851556621,0.18928398645379776
85,0.86,0.6595457038274644,0.8424187341674241,0.10050123075745789,0.19302030456852792
86,0.87,0.6491639777060721,0.8468535727617439,0.09599908171464283,0.1980868872060582
87,0.88,0.6385399262820921,0.8523349179083609,0.09076995676406444,0.20444007306449347
88,0.89,0.627609779739054,0.8577292771647463,0.08559184766666242,0.2099538071822381
89,0.90,0.616322522223781,0.8632977402532903,0.08014590534008444,0.21499045194143857
90,0.91,0.6034282653334524,0.8700779912497623,0.07384544747280217,0.2226252158894646
91,0.92,0.5903171910671241,0.8775629253537863,0.06741744997257898,0.23117669315172154
92,0.93,0.5752675143800936,0.8866201086354063,0.059522746693535016,0.24233983286908078
93,0.94,0.5585853303914191,0.8967509190127178,0.05106686902955093,0.25399600399600397
94,0.95,0.5391482903312205,0.9093511224658766,0.04095297613733467,0.26938648396138276
95,0.96,0.5154514265307945,0.9254979586787084,0.028326552476181974,0.2845565060783431
96,0.97,0.48633412833037865,0.9472883667261093,0.0122310507990358,0.3295099061522419
97,0.98,0.45790554414784396,0.9595298443027045,0.002971673447523818,0.2575107296137339
98,0.99,0.4244263905008481,0.9640603401646733,0.0006632060912928693,0.2692307692307692
